,Symbol,2018,2019,2020,2021,C2018,C2019,C2020,C2021
0,BAJAJ-AUTO,-15.113869786466678,-8.512529891516005,-4.8319650525342555,25.6962419681327,White,White,White,Green
1,BAJAJFINSV,22.37562867160156,64.91727308347207,39.96141893403964,190.58159140206996,Green,Green,Green,Green
2,BAJFINANCE,34.52187138364881,109.78610813118024,112.68333705297322,285.15246894625494,Green,Green,Green,Green
3,BHARTIARTL,-17.418890644369895,-8.406210724385522,29.168167915874456,54.97986371174116,White,White,Green,Green
4,BRITANNIA,24.286969372329885,27.677492990456276,52.08034382455773,65.48197430644119,Green,Green,Green,Green
5,CIPLA,-1.2165191207797386,-14.064246507457554,13.96458521178251,55.30510581179699,White,White,Green,Green
6,COALINDIA,-4.327806082499892,-18.732027246968492,-44.70428826903884,-31.660780003245907,White,White,Red,Red
7,GRASIM,-15.092544959283538,-30.648364245524423,-38.346124725269895,34.994943680032385,White,Red,Red,Green
8,HDFCLIFE,2.961761655349543,16.786721266779573,35.254871278718554,62.39977525736348,Green,Green,Green,Green
9,HEROMOTOCO,-7.981206742638222,-24.883384680741045,-19.57222301312077,-12.287176814920562,White,Red,White,White
10,HINDALCO,-10.859700304698514,-22.057563299916417,-31.173148330032436,63.88833539748716,White,Red,Red,Green
11,ICICIBANK,-9.402525225146235,25.866324671401024,19.076410624265456,97.30931896004608,White,Green,Green,Green
12,INDUSINDBK,0.5252665982360538,-15.164558260258708,-61.74803298060109,-41.86807315593426,Green,White,Red,Red
13,ITC,4.550252848280564,0.9595465852654413,-25.495335226360854,-9.18179360710116,Green,Green,Red,White
14,KOTAKBANK,9.191927467272642,34.98335803966904,33.890901970581474,67.37054263899347,Green,Green,Green,Green
15,LT,-5.4806215094507245,-0.4067105392383704,-24.931738305287332,23.853790030056786,White,White,Red,Green
16,M&M,8.190011934533585,-20.543279235044498,-24.329264144878668,11.09011044026599,Green,Red,Red,Green
17,MARUTI,-11.393010343614469,-26.804392567048453,-29.84730545457418,-20.552911824837242,White,Red,Red,Red
18,NESTLEIND,30.9783319066417,72.50491103105631,135.3858017075223,160.38850858823076,Green,Green,Green,Green
19,NTPC,-4.089638398113012,-6.830836901323223,-26.334520123208527,2.0898887454274435,White,White,Red,Green
20,ONGC,-16.972035803825264,-25.125950949920554,-54.80286001288265,-25.931388098868872,White,Red,Red,Red
21,RELIANCE,10.661199257955627,42.195919518424354,89.74714684353039,139.0300884219964,Green,Green,Green,Green
22,SHREECEM,-3.899287283342376,15.402553397876595,27.33252793890168,63.92930241509257,White,Green,Green,Green
23,TATACONSUM,-15.036118699867476,-7.978590886250466,58.639662091065084,160.8857927710146,White,White,Green,Green
24,TATASTEEL,-18.05455859790957,-34.23526904759866,-37.92169526622417,73.83508536421212,White,Red,Red,Green
25,TCS,18.174337834247037,40.49860555346379,59.55522701767405,134.7871409957645,Green,Green,Green,Green
26,TECHM,12.379478343087486,26.42429742261772,27.353660286270053,129.8313294447325,Green,Green,Green,Green
27,TITAN,2.2781912974963485,34.65645100653372,35.22567898488523,125.34235477242535,Green,Green,Green,Green
28,ULTRACEMCO,-9.569469386908361,-3.4101647126438595,-3.59780331946573,63.765248041391196,White,White,White,Green
29,WIPRO,-1.9475156437292633,15.484036344517914,23.003580411074193,151.86657759639215,White,Green,Green,Green
